구분, 종별, 한글제명, 원제명, 상영시간, 관람등급, 신청사, 신청사대표, 등급분류일자, 등급분류(추천)번호, 제작국(신청사), 주제, 선정성, 폭력성, 대사, 공포, 약물, 모방위험
국내영화, 다큐멘터리, 소규모아카시아밴드이야기, 소규모아카시아밴드이야기, 90분 null초, 12세이상관람가, (주)이모션픽쳐스, 임재철, 2010-01-04, 2010-F1, 한국((주)이모션픽쳐스), 12세이상관람가, 전체관람가, 전체관람가, 12세이상관람가, 전체관람가, 12세이상관람가, 전체관람가
歡耽�, (주)전망좋은영화사, 이서열, 2010-03-02, 2010-F72, 한국((주)전망좋은영화사), 15세이상관람가, 전체관람가, 15세이상관람가, 15세이상관람가, 전체관람가, 전체관람가, 12세이상관람가
국내영화, 극영화, 무법자, 무법자, 93분 null초, 청소년관람불가, 청강스토리(주), 류준상, 2010-02-24, 2010-F66, 한국(청강스토리(주)), 청소년관람불가, 청소년관람불가, 청소년관람불가, 청소년관람불가, 청소년관람불가, 12세이상관람가, 15세이상관람가
국내영화, 극영화, 동자대소동, 동자대소동, 85분 null초, 전체관람가, (주)H.F.G엔터테인먼트, 한상훈, 2010-02-22, 2010-F63, 한국((주)H.F.G엔터테인먼트), 전체관람가, 전체관람가, 전체관람가, 전체관람가, 전체관람가, 전체관람가, 전체관람가
국내영화, 다큐멘터리, 행복한울릉인, 행복한울릉인, 76분 null초, 전체관람가, 마운틴픽쳐스, 이재식, 2010-02-10, 2010-F50, 한국(마운틴픽쳐스), 전체관람가, 전체관람가, 전체관람가, 전체관람가, 전체관람가, 전체관람가, 전체관람가
국내영화, 극영화, 채식주의자, 채식주의자, 113분 null초, 청소년관람불가, (주)스폰지이엔티, 조은운, 2010-02-01, 2010-F39, 한국((주)스폰지이엔티), 청소년관람불가, 청소년관람불가, 15세이상관람가, 15세이상관람가, 15세이상관람가, 전체관람가, 12세이상관람가
국내영화, 극영화, 평행이론, 평행이론, 110분 null초, 15세이상관람가, 씨제이엔터테인먼트(주), 김정아, 2010-01-27, 2010-F32, 한국(씨제이엔터테인먼트(주)), 15세이상관람가, 15세이상관람가, 15세이상관람가, 15세이상관람가, 15세이상관람가, 15세이상관람가, 12세이상관람가
국내영화, 다큐멘터리, 경계도시, 경계도시, 79분 null초, 15세이상관람가, 시네마달, 김일권, 2010-01-22, 2010-F25, 한국(시네마달), 15세이상관람가, 전체관람가, 전체관람가, 15세이상관람가, 전체관람가, 전체관람가, 15세이상관람가
국내영화, 극영화, 2008 서태지심포니위드톨가카쉬프로열필하모닉, 2008 SEOTAIJI SYMPHONY WITH TOLGA KASHIF ROYAL PHILHARMONIC, 123분 null초, 전체관람가, (주)서태지컴퍼니, 김은배, 2010-01-19, 2010-F21, 한국((주)서태지컴퍼니), 전체관람가, 전체관람가, 전체관람가, 전체관람가, 전체관람가, 전체관람가, 전체관람가
국내영화, 극영화, 이웃집좀비, 이웃집좀비, 89분 null초, 15세이상관람가, (주)인디스토리, 곽용수, 2010-01-18, 2010-F20, 한국((주)인디스토리), 15세이상관람가, 전체관람가, 15세이상관람가, 15세이상관람가, 15세이상관람가, 전체관람가, 전체관람가
국내영화, 극영화, 식객 김치전쟁, 식객 김치전쟁, 119분 null초, 전체관람가, (주)이룸영화사, 최창원, 2010-01-18, 2010-F19, 한국((주)이룸영화사), 전체관람가, 전체관람가, 전체관람가, 전체관람가, 전체관람가, 전체관람가, 전체관람가
국내영화, 극영화, 주문진, 주문진, 96분 null초, 12세이상관람가, (주)하명중영화제작소, 박경애, 2010-01-14, 2010-F17, 한국((주)하명중영화제작소), 12세이상관람가, 12세이상관람가, 12세이상관람가, 12세이상관람가, 전체관람가, 전체관람가, 전체관람가
국내영화, 극영화, 평행이론(자진취하), 평행이론(자진취하), 110분 null초, 청소년관람불가, 씨제이엔터테인먼트(주), 김정아, 2010-01-13, 2010-F16, 한국(씨제이엔터테인먼트(주)), 15세이상관람가, 청소년관람불가, 청소년관람불가, 15세이상관람가, 15세이상관람가, 15세이상관람가, 12세이상관람가
국내영화, 다큐멘터리, 회복, 회복, 94분 null초, 12세이상관람가, (주)스토리셋, 이임주, 2010-01-13, 2010-F15, 한국((주)스토리셋), 12세이상관람가, 전체관람가, 12세이상관람가, 12세이상관람가, 전체관람가, 전체관람가, 전체관람가
국내영화, 다큐멘터리, 경계도시2, 경계도시2, 104분 null초, 15세이상관람가, 시네마달, 김일권, 2010-01-
